CustomerID,Age,Gender,AnnualIncome,TenureYears,PreferredChannel,PreferredCategory,Recency,Frequency,MonetaryValue,AvgBasketSize,LoyaltyMember,Segment,SegmentLabel
CUST00001,46,Female,83293.11,4.71,Online,Groceries,10,28,4647.83,165.99,1,0,VIP / Premium Loyalists
CUST00002,48,Male,43193.84,13.19,Online,Fashion,139,1,293.05,293.05,1,4,Steady Regulars
CUST00003,42,Male,98738.38,6.46,In-Store,Electronics,49,3,2043.26,681.09,1,3,Budget Shoppers
CUST00004,47,Female,115323.25,4.41,Online,Electronics,44,5,3420.56,684.11,0,3,Budget Shoppers
CUST00005,27,Male,31301.8,0.62,In-Store,Beauty,12,16,633.32,39.58,0,2,Occasional Big Spenders
CUST00006,25,Male,32911.78,2.35,Online,Electronics,16,20,310.55,15.53,1,2,Occasional Big Spenders
CUST00007,32,Female,23115.52,4.2,Mobile App,Beauty,17,22,612.34,27.83,0,2,Occasional Big Spenders
CUST00008,48,Female,68347.56,2.96,Online,Home & Garden,99,2,50.0,25.0,1,1,At-Risk / Disengaged
CUST00009,34,Female,121160.92,1.09,In-Store,Fashion,69,5,2505.87,501.17,0,3,Budget Shoppers
CUST00010,35,Female,76889.91,2.85,In-Store,Groceries,29,2,1954.82,977.41,0,3,Budget Shoppers
CUST00011,32,Male,33288.09,7.09,Online,Beauty,15,21,431.59,20.55,0,2,Occasional Big Spenders
CUST00012,40,Female,67506.54,0.58,Mobile App,Electronics,169,1,308.88,308.88,0,1,At-Risk / Disengaged
CUST00013,28,Male,41667.84,3.57,In-Store,Beauty,101,5,470.46,94.09,0,1,At-Risk / Disengaged
CUST00014,24,Male,37748.95,1.15,Online,Sports,12,14,494.46,35.32,1,2,Occasional Big Spenders
CUST00015,35,Male,49367.02,1.6,Online,Beauty,10,16,642.88,40.18,1,2,Occasional Big Spenders
CUST00016,29,Female,28195.55,0.45,Mobile App,Electronics,16,9,411.4,45.71,0,2,Occasional Big Spenders
CUST00017,45,Male,145891.16,2.62,In-Store,Sports,6,25,4186.86,167.47,0,0,VIP / Premium Loyalists
CUST00018,49,Female,116701.31,2.09,Online,Sports,50,9,2007.73,223.08,1,3,Budget Shoppers
CUST00019,50,Female,102814.16,4.78,Online,Electronics,10,31,4856.39,156.66,1,0,VIP / Premium Loyalists
CUST00020,30,Male,43068.17,3.19,Mobile App,Sports,27,15,672.08,44.81,1,2,Occasional Big Spenders
CUST00021,36,Female,97640.85,4.46,In-Store,Fashion,63,4,3058.07,764.52,0,3,Budget Shoppers
CUST00022,25,Female,33194.29,5.96,In-Store,Groceries,15,22,376.59,17.12,1,2,Occasional Big Spenders
CUST00023,20,Female,40970.03,2.15,Online,Fashion,20,29,553.83,19.1,1,2,Occasional Big Spenders
CUST00024,47,Male,120760.45,10.75,In-Store,Fashion,8,31,3046.8,98.28,0,4,Steady Regulars
CUST00025,41,Female,113881.8,1.7,Online,Electronics,12,18,4306.38,239.24,0,0,VIP / Premium Loyalists
CUST00026,27,Male,42798.02,0.1,Online,Electronics,124,4,236.9,59.22,0,1,At-Risk / Disengaged
CUST00027,35,Female,34474.0,0.27,In-Store,Groceries,11,27,382.8,14.18,0,2,Occasional Big Spenders
CUST00028,18,Female,106675.45,0.8,Mobile App,Beauty,60,8,3717.38,464.67,1,3,Budget Shoppers
CUST00029,44,Male,93214.83,10.33,Online,Fashion,73,4,1732.13,433.03,0,4,Steady Regulars
CUST00030,24,Female,42183.11,0.1,Online,Sports,13,14,499.63,35.69,0,2,Occasional Big Spenders
CUST00031,27,Female,120987.76,3.68,In-Store,Groceries,44,8,3039.91,379.99,1,3,Budget Shoppers
CUST00032,29,Female,38679.43,0.1,In-Store,Fashion,20,13,648.49,49.88,0,2,Occasional Big Spenders
CUST00033,28,Male,40672.03,0.34,Mobile App,Beauty,14,25,498.54,19.94,1,2,Occasional Big Spenders
CUST00034,57,Male,38887.51,4.79,In-Store,Sports,120,1,367.76,367.76,0,1,At-Risk / Disengaged
CUST00035,30,Other,21656.89,3.56,Online,Fashion,106,1,109.93,109.93,0,1,At-Risk / Disengaged
CUST00036,44,Female,55581.97,0.33,Mobile App,Home & Garden,134,3,231.48,77.16,0,1,At-Risk / Disengaged
CUST00037,45,Female,86832.71,1.58,In-Store,Groceries,14,29,4023.23,138.73,0,0,VIP / Premium Loyalists
CUST00038,27,Male,27989.45,0.12,Mobile App,Electronics,15,17,587.08,34.53,1,2,Occasional Big Spenders
CUST00039,29,Male,89940.19,0.46,In-Store,Fashion,72,7,2400.17,342.88,0,3,Budget Shoppers
CUST00040,50,Female,115510.21,8.19,Mobile App,Sports,5,35,4486.34,128.18,0,0,VIP / Premium Loyalists
CUST00041,31,Female,40081.37,0.9,Online,Sports,23,15,797.61,53.17,1,2,Occasional Big Spenders
CUST00042,47,Male,118026.87,0.25,Online,Groceries,17,22,4363.64,198.35,0,0,VIP / Premium Loyalists
CUST00043,24,Female,31128.91,1.61,Mobile App,Groceries,12,20,678.43,33.92,1,2,Occasional Big Spenders
CUST00044,28,Female,94475.16,15.0,Online,Sports,117,2,390.4,195.2,0,4,Steady Regulars
CUST00045,27,Male,35960.25,3.04,Online,Sports,20,13,561.39,43.18,1,2,Occasional Big Spenders
CUST00046,23,Male,111791.82,1.16,In-Store,Sports,58,2,2168.88,1084.44,1,3,Budget Shoppers
CUST00047,47,Male,130941.97,9.24,Mobile App,Fashion,15,21,5062.94,241.09,1,4,Steady Regulars
CUST00048,38,Female,65606.86,0.59,Online,Sports,36,8,2925.49,365.69,1,3,Budget Shoppers
CUST00049,51,Male,119841.64,0.5,Mobile App,Electronics,36,7,3145.82,449.4,0,3,Budget Shoppers
CUST00050,28,Male,37590.4,3.07,In-Store,Sports,13,10,592.44,59.24,0,2,Occasional Big Spenders
CUST00051,44,Female,15000.0,10.46,In-Store,Electronics,154,1,256.51,256.51,0,1,At-Risk / Disengaged
CUST00052,22,Male,62109.4,0.42,Mobile App,Fashion,83,5,215.03,43.01,0,1,At-Risk / Disengaged
CUST00053,34,Male,57155.61,1.69,Online,Groceries,122,1,419.55,419.55,0,1,At-Risk / Disengaged
CUST00054,29,Male,59733.86,0.55,Online,Electronics,78,2,362.48,181.24,1,1,At-Risk / Disengaged
CUST00055,35,Female,132381.46,0.58,Online,Fashion,51,7,3521.2,503.03,0,3,Budget Shoppers
CUST00056,38,Female,45096.79,8.28,In-Store,Sports,103,3,217.49,72.5,0,1,At-Risk / Disengaged
CUST00057,31,Male,34354.27,0.91,In-Store,Fashion,16,8,737.45,92.18,0,2,Occasional Big Spenders
CUST00058,29,Female,18192.65,0.1,Mobile App,Sports,39,14,660.51,47.18,0,2,Occasional Big Spenders
CUST00059,33,Female,26680.75,3.04,In-Store,Fashion,20,13,506.43,38.96,1,2,Occasional Big Spenders
CUST00060,60,Male,120944.32,3.85,In-Store,Groceries,4,24,5802.73,241.78,0,0,VIP / Premium Loyalists
CUST00061,47,Male,131013.09,2.0,In-Store,Electronics,12,31,4710.98,151.97,0,0,VIP / Premium Loyalists
CUST00062,21,Male,28826.97,2.29,Online,Groceries,17,23,562.14,24.44,0,2,Occasional Big Spenders
CUST00063,54,Male,56803.01,4.95,Online,Home & Garden,113,4,442.74,110.68,0,1,At-Risk / Disengaged
CUST00064,35,Female,124429.33,0.51,Mobile App,Sports,11,32,3990.88,124.72,1,0,VIP / Premium Loyalists
CUST00065,26,Female,35124.63,0.74,Online,Electronics,6,11,839.18,76.29,1,2,Occasional Big Spenders
CUST00066,30,Male,67050.91,0.19,Online,Groceries,40,3,2379.32,793.11,0,3,Budget Shoppers
CUST00067,35,Male,43078.54,1.1,In-Store,Electronics,9,29,747.26,25.77,1,2,Occasional Big Spenders
CUST00068,31,Male,43186.34,1.53,Online,Home & Garden,119,1,116.06,116.06,1,1,At-Risk / Disengaged
CUST00069,32,Female,54518.02,4.67,Mobile App,Beauty,26,21,689.21,32.82,1,2,Occasional Big Spenders
CUST00070,45,Male,46209.71,0.32,Online,Sports,132,3,366.37,122.12,0,1,At-Risk / Disengaged
CUST00071,18,Female,48524.91,1.12,Online,Sports,90,1,321.59,321.59,1,1,At-Risk / Disengaged
CUST00072,34,Male,47116.14,0.19,Online,Fashion,21,15,361.98,24.13,0,2,Occasional Big Spenders
CUST00073,30,Female,27253.24,1.26,In-Store,Sports,16,11,509.79,46.34,0,2,Occasional Big Spenders
CUST00074,39,Female,70961.22,3.01,Online,Sports,118,2,307.64,153.82,0,1,At-Risk / Disengaged
CUST00075,39,Male,104779.36,2.36,In-Store,Groceries,46,6,2308.61,384.77,0,3,Budget Shoppers
CUST00076,32,Female,115689.56,0.68,Mobile App,Sports,40,5,3325.96,665.19,0,3,Budget Shoppers
CUST00077,26,Other,63423.87,2.93,Mobile App,Sports,111,5,219.18,43.84,0,1,At-Risk / Disengaged
CUST00078,28,Male,52781.57,2.98,Online,Home & Garden,5,21,489.76,23.32,0,2,Occasional Big Spenders
CUST00079,44,Female,107403.59,1.06,Online,Home & Garden,8,23,4971.1,216.13,0,0,VIP / Premium Loyalists
CUST00080,38,Male,46675.95,0.22,In-Store,Electronics,2,20,599.69,29.98,1,2,Occasional Big Spenders
CUST00081,25,Female,74586.75,0.96,Mobile App,Electronics,170,2,368.28,184.14,0,1,At-Risk / Disengaged
CUST00082,53,Male,75185.97,1.83,Mobile App,Sports,34,5,2661.73,532.35,1,3,Budget Shoppers
CUST00083,47,Female,78882.09,1.62,Online,Sports,9,29,2605.01,89.83,1,0,VIP / Premium Loyalists
CUST00084,29,Female,40559.98,0.1,In-Store,Fashion,31,17,859.03,50.53,0,2,Occasional Big Spenders
CUST00085,49,Female,111520.11,0.41,Online,Electronics,10,18,4335.49,240.86,0,0,VIP / Premium Loyalists
CUST00086,34,Female,141669.3,6.35,Online,Groceries,7,32,3228.37,100.89,1,0,VIP / Premium Loyalists
CUST00087,28,Female,89304.65,0.23,Online,Sports,63,6,4423.53,737.26,1,3,Budget Shoppers
CUST00088,42,Male,85505.55,3.08,Online,Groceries,50,7,3207.68,458.24,1,3,Budget Shoppers
CUST00089,26,Female,30031.51,2.75,Online,Sports,65,4,167.6,41.9,1,1,At-Risk / Disengaged
CUST00090,28,Female,126726.47,7.63,Online,Groceries,8,26,4198.76,161.49,1,4,Steady Regulars
CUST00091,27,Female,34208.88,2.34,In-Store,Beauty,22,17,640.11,37.65,0,2,Occasional Big Spenders
CUST00092,41,Female,85871.78,2.97,Online,Groceries,41,4,2552.89,638.22,0,3,Budget Shoppers
CUST00093,35,Female,49863.22,2.8,In-Store,Electronics,153,4,297.0,74.25,0,1,At-Risk / Disengaged
CUST00094,45,Female,83292.57,0.4,Online,Sports,53,1,2844.77,2844.77,0,3,Budget Shoppers
CUST00095,28,Male,47195.43,1.12,Online,Electronics,122,4,291.54,72.89,0,1,At-Risk / Disengaged
CUST00096,49,Male,52234.58,0.97,Online,Groceries,9,26,3565.37,137.13,0,0,VIP / Premium Loyalists
CUST00097,52,Male,116937.71,10.29,Online,Home & Garden,42,9,2904.07,322.67,1,4,Steady Regulars
CUST00098,42,Male,98727.02,0.43,In-Store,Home & Garden,6,22,3634.59,165.21,0,0,VIP / Premium Loyalists
CUST00099,25,Female,36363.33,0.55,Online,Home & Garden,16,18,665.54,36.97,0,2,Occasional Big Spenders
CUST00100,33,Male,38996.22,3.27,In-Store,Sports,33,13,568.66,43.74,0,2,Occasional Big Spenders
CUST00101,20,Male,33201.88,2.2,Online,Fashion,6,9,681.22,75.69,0,2,Occasional Big Spenders
CUST00102,45,Other,94461.97,0.75,In-Store,Beauty,42,5,2789.36,557.87,0,3,Budget Shoppers
CUST00103,41,Male,117836.08,0.46,In-Store,Groceries,2,25,4187.75,167.51,1,0,VIP / Premium Loyalists
CUST00104,43,Male,59717.16,0.98,Online,Fashion,76,4,2771.94,692.98,0,3,Budget Shoppers
CUST00105,33,Male,75675.63,6.68,Online,Home & Garden,79,1,476.54,476.54,1,1,At-Risk / Disengaged
CUST00106,26,Male,44138.61,2.76,Online,Groceries,6,10,538.99,53.9,1,2,Occasional Big Spenders
CUST00107,62,Female,97885.7,0.28,In-Store,Fashion,11,26,5241.39,201.59,1,0,VIP / Premium Loyalists
CUST00108,54,Female,32130.65,3.42,Online,Electronics,122,3,506.66,168.89,0,1,At-Risk / Disengaged
CUST00109,25,Female,36477.44,1.62,In-Store,Home & Garden,4,13,780.06,60.0,0,2,Occasional Big Spenders
CUST00110,24,Male,31388.72,2.17,In-Store,Fashion,12,19,493.82,25.99,1,2,Occasional Big Spenders
CUST00111,32,Female,28945.64,1.43,Mobile App,Sports,4,26,551.6,21.22,0,2,Occasional Big Spenders
CUST00112,26,Male,40133.5,5.19,In-Store,Electronics,25,15,605.79,40.39,1,2,Occasional Big Spenders
CUST00113,27,Male,63917.6,5.01,In-Store,Home & Garden,122,3,483.42,161.14,0,1,At-Risk / Disengaged
CUST00114,41,Male,37193.95,0.76,Online,Beauty,131,4,274.76,68.69,0,1,At-Risk / Disengaged
CUST00115,29,Male,59605.58,5.45,Mobile App,Home & Garden,76,4,2645.12,661.28,1,3,Budget Shoppers
CUST00116,32,Male,29891.7,5.62,In-Store,Sports,147,3,331.91,110.64,1,1,At-Risk / Disengaged
CUST00117,33,Male,54238.7,4.49,Online,Beauty,113,5,358.92,71.78,1,1,At-Risk / Disengaged
CUST00118,31,Other,26689.59,4.16,Mobile App,Beauty,19,20,604.55,30.23,0,2,Occasional Big Spenders
CUST00119,40,Male,40229.65,3.96,Online,Beauty,104,4,448.59,112.15,0,1,At-Risk / Disengaged
CUST00120,38,Male,136407.38,2.08,Mobile App,Groceries,61,2,2854.9,1427.45,0,3,Budget Shoppers
CUST00121,44,Male,55717.38,0.1,Mobile App,Groceries,159,4,283.39,70.85,0,1,At-Risk / Disengaged
CUST00122,20,Female,62426.82,0.68,Online,Beauty,92,5,249.26,49.85,1,1,At-Risk / Disengaged
CUST00123,58,Male,117893.43,3.23,In-Store,Electronics,3,27,5157.31,191.01,0,0,VIP / Premium Loyalists
CUST00124,24,Female,23401.15,3.14,Online,Beauty,6,16,476.95,29.81,1,2,Occasional Big Spenders
CUST00125,36,Other,31802.91,1.78,Online,Fashion,17,23,387.25,16.84,1,2,Occasional Big Spenders
CUST00126,31,Male,133330.97,2.62,Online,Beauty,6,25,3531.39,141.26,0,0,VIP / Premium Loyalists
CUST00127,28,Male,52768.27,3.39,In-Store,Groceries,166,6,547.38,91.23,1,1,At-Risk / Disengaged
CUST00128,50,Male,40628.16,0.24,Online,Groceries,145,3,457.49,152.5,1,1,At-Risk / Disengaged
CUST00129,26,Female,31374.18,0.87,Online,Fashion,21,23,613.26,26.66,0,2,Occasional Big Spenders
CUST00130,51,Male,87227.68,0.62,In-Store,Fashion,32,4,2705.33,676.33,1,3,Budget Shoppers
CUST00131,57,Male,122616.23,0.5,Online,Home & Garden,4,35,5176.83,147.91,1,0,VIP / Premium Loyalists
CUST00132,30,Male,44179.27,1.33,Online,Electronics,13,24,309.4,12.89,1,2,Occasional Big Spenders
CUST00133,25,Female,26043.06,0.45,Online,Electronics,16,9,648.48,72.05,0,2,Occasional Big Spenders
CUST00134,44,Male,130659.28,6.49,Online,Electronics,7,22,4521.42,205.52,1,0,VIP / Premium Loyalists
CUST00135,21,Male,15000.0,4.35,Online,Sports,119,6,499.35,83.22,0,1,At-Risk / Disengaged
CUST00136,41,Female,117095.57,4.28,Online,Groceries,4,26,3741.25,143.89,1,0,VIP / Premium Loyalists
CUST00137,37,Female,91333.87,0.79,Mobile App,Electronics,32,4,2641.46,660.36,0,3,Budget Shoppers
CUST00138,41,Female,89531.04,0.16,In-Store,Home & Garden,69,5,2790.19,558.04,0,3,Budget Shoppers
CUST00139,26,Male,127680.91,11.05,Online,Home & Garden,11,22,4253.59,193.34,1,4,Steady Regulars
CUST00140,41,Female,48356.76,11.94,Online,Electronics,102,4,189.7,47.42,0,4,Steady Regulars
